Rank,Name,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2023 (€),Revenue 2020 (€),Number of employees 2023,Number of employees 2020,Founding year
29,BizAway,Italy,Hospitality & Travel,"3,729.9",237.1,"72,218,580","1,885,630",237,47,2015
30,Pier Currà Architettura,Italy,"Professional, Scientific & Technical Services","3,725.1",236.9,"4,933,717","128,983",26,13,2017
31,Aria,France,"Fintech, Financial Services & Insurance","3,647.6",234.6,"6,132,960","163,651",32,5,2018
32,Kid-A,UK,Media & Telecommunications,"3,417.8",227.7,"5,409,255","148,961",14,3,2019
33,Pathos Communications,UK,Advertising & Marketing,"3,239.7",222,"6,570,081","190,577",50,1,2019
34,SC Media House,Germany,Advertising & Marketing,"3,211.8",221.1,"4,092,383","123,568",15,2,2020
35,Eva Consulting,Italy,Management consulting,"3,175.5",220,"4,108,345","125,426",23,6,2017
36,Simmer Eats,UK,Food & Beverages,"3,161.8",219.5,"5,074,861","150,720",15,1,2018
37,Fairfamily Group,Germany,Management consulting,"3,159",219.4,"7,837,037","240,473",43,5,2019
38,Elgin White Limited,UK,Management consulting,"3,102.2",217.6,"11,713,639","354,368",8,2,2006
39,Energie de Loire (EDL),France,Energy & Utilities,"3,084.7",217,"38,023,995","1,193,962",64,5,2018
40,Strelec Gruppe,Germany,Electrical Manufacturing,"3,082",216.9,"11,891,367","373,711",13,1,2018
41,Spotlag,France,"Professional, Scientific & Technical Services","3,044.9",215.6,"3,919,567","124,633",25,3,2019
42,KCS C&C,UK,Food & Beverages,"3,005.4",214.3,"27,889,623","870,030",21,5,2020
43,Oxford Summer Courses,UK,Education & Social Services,"2,960.1",212.8,"13,245,082","419,294",25,29,2012
44,NLIST,Netherlands,Employment Services,"2,826.8",208.2,"10,209,062","348,810",10,2,2018
45,Daintta,UK,IT & Software,"2,807.1",207.5,"6,940,088","231,265",41,4,2019
46,Target Travel,Italy,Hospitality & Travel,"2,789.2",206.9,"12,113,678","419,271",21,13,1985
47,Konversational,Ireland,IT & Software,"2,786.7",206.8,"4,584,257","158,805",37,6,2020
48,Wallester,Estonia,"Fintech, Financial Services & Insurance","2,779.8",206.5,"9,140,000","317,380",126,3,2016
49,Imprendiroma,Italy,Construction & Engineering,"2,723.2",204.5,"113,724,639","4,028,192",42,14,2008
50,PureXtracts,UK,Ecommerce,"2,719.7",204.4,"2,995,433","102,912",5,2,2005
51,Vagabondo Viaggi,Italy,Hospitality & Travel,"2,706.7",203.9,"4,695,705","167,304",13,6,2010
52,Veesion,France,IT & Software,"2,692.5",203.4,"5,616,692","201,134",100,9,2018
53,Busforfun.com,Italy,Leisure & Entertainment,"2,645.4",201.7,"6,723,302","244,891",30,6,2015
54,Sinergies,Italy,Energy & Utilities,"2,637.4",201.4,"14,114,960","515,625",4,1,2013
55,Internet Up,Germany,Ecommerce,"2,614.8",200.5,"13,347,927","491,667",26,2,2020
